FILE NAME,lemmas,StoryID
S115_vlasov_n_pod_luchami_krasoti_1920.txt,на пароход прислать новый кочегар это быть средний рост плотный широколицый белокурый молодой человек год одеть как и весь низкий судоходный служащие серо да на одежда или обувь здесь никто и внимание не обращать заинтересовать весь этот человек совсем иной особенность едва расположиться на пароход и вступить на первый вахта михаил заботин так звать кочегар обратить на себя внимание сослуживец свой голос усевшись на ящик пред огнедышащими форсунками следя за течение мазут вода и пар он исподволь тихо тихо запеть простой но красивый и задушевный песня весь и каждый известный и несмотря на то что песня быть не новый она невольно обратить на себя внимание маслёнщик и кочегар вахтивших вместе с заботиным сладко пэ э эл душ со ловушко в зе ле но ом мо ем сад мно о о го мно о го знать он пе э се нок сла а ще не быть од но ой мягкий звучный ласкать слух тенор петь михаил сначала звук звенеть тихо как бы затаённый сдержанно затем они заколыхаться сильный уверенный и широкий расплываться по весь машинный отделение машинный отделение наполнялось свой звук звук пар пламя и звякающего металл и несмотря на это звук михайловой песня четко выделяться из рой машинный шорох ибо они были красивый весь других звук ах пе еснь быть заве эт ная над ры ва а ла гру стью гру удь а весь слу ша ать бы хо те э ло ся не раса ста лась ввек бы с ней звук за звук слово за слово ронять этот чумазый певец и нежный сладкий звук рисовать нежный грустный милый образ пробуждать в душа слушатель настроение сильно схожий с другим когда то ведомый но заслонить повседневный чрезсильными трудами хлопотами и заботами ишь ты какой артист объявиться у нас заметить маслёнщик сорокин другому маслёнщик горшечников ведь и песня то неважный а петь то как умиление достойно действительно что то особенный подхватить горшечников голос замечательный горшечников старший маслёнщик высокий сухощавый чёрный как жук чёрствый строгий мужчина год и тот размякнуть слушать песня и бывать же такой голос чувствительный на свет восторгался он так в душа и проситься душа то у чёрный маслёнщик ещё не закоптеть коллега горшечников сорокин низенький кругленький бледнолицый парень год быть растрогать песнею не меньше горшечников в учение бы с такой то голос молвить он в город школа такой быть консерватория ну учиться то ему не к лицо возразить горшечников вахлак ведь и деньга конечно нет теперь можно бесплатно почти в каждый город быть пролеткульт а при нем студия кто хошь учись а кочегар захар чресседельников средний рост худощавый лохматый мужик год и фёдор курочкин высокий плотный круглолицый безусый парень год оценивать пение заботин по свой ежели бы такой голос да в церква говорить чресседельников больший бы от это быть польза голый от душа идти в церковь не так важный в балаган бы возразить курочкин эка уподобить досадливо проворчал чресседельников в церковь божественный а в балаган то што балясы да прибаутка это как взглянуть на это не уступать парень для церковь быть поп церковный песнопение ихняя специальность поп кормиться этот ремеслом а в балаган другое дело там тебе удовольствие доставить быть я на макарьевский нижегородский значит ярмарка зайти в сад народный забава ежели бывать ты на ярмарка так знать наверно за самокатской площадь то этот и вот выйти там на площадка песенник да под какой то музыка в ящик она барский должный быть как запеть когда я быть свободный мальчик не знать ни горе ни нужда так поверишь ли слеза у меня на глаз выступить в церковь хороший бы стоять на свой несговорчивый мужик ежели бы в херувимской его пустить здорово бы он там разделать ри но си ма значить и прочее подобный в балаган чувствительный бы не униматься курочкин там можно душа выложить а в церковь что аллилуия аллилуия да и только безбожник буркнуть чресседельников а ты как бы например вроде чёрный сотня выходить в свой очередь кольнуть курочкин ii а заботин продолжать петь петь как бы забыть окружать с увлечение страстно прочувствованно петь кончил о соловушке запеть сгубить меня твой очи сгубить твой красота забыть семья я родный забыть я все для тебя горшечников не выдержать и позвать парень эй ты соловей идти ка сюда к нам маслёнщик сидеть в отдаление от форсунка меж машина заботин миг присеменить на зов где это ты петь то так навострился спросить горшечников сам себя так сказать отвечать кочегар пристрастие у меня к песня большой с малый год можно сказать отчего же в хор не поступаешь не приходиться условие жизнь можно сказать не благоприятствовать ты давно на волга то четыре год ранний в город жить в кузнец а тут на пароход метнуть по машинный часть пойти голос то у тебя редкостный ты бы учиться пенью то да на сцена куда уж нам возразить заботин и застыдиться теперь обучение всякому искусство доступный каждый гражданин а рабочий и тем паче молвить сорокин в город быть пролеткульты а в них студия это вы верно говорить согласиться заботин в город куда сподручный в весь отношение что насчёт пение книжка газета или насчёт политика там к всему доступ не как здесь а ты и насчёт политика не старший маслёнщик само себя разуметься в город мы ещё до революция политик то нюхивали а здесь произойти революция человек насквозь пропитаться революционный дух и только речной пролетарий оставаться почти такой же какой быть до революция ни книжка ни газета ни лекция ни митинг ни малый кружковой собрание на партийность смотреть как на антихристово клеймо ну это далеко не все возразить сорокин знать что не все но большинство то таково а ведь в это весь суть наш брат кочегар и матрос как быть ничто не знать такой и теперь остаться это дело помочь трудный ведь судоходец в сила условие труд свой жить разобщённо судно постоянно в движение человек почти не встречаться тут не до митинг а зимою в затон ну а там глушь затонская мешать зазимуешь в какой нибудь захолустье где и книга не достать и агитатор день с огонь не сыскать интеллигенция всегда вот так говорить горько усмехнувшись уронить заботин она на все найти причина а разве это не так по наш чернорабочий не так по наш что нет то создавать сам что же ты из голос то свой не создавать сам чего либо значительный резкий тон заявить сорокин голос дело не такой важный трудовой люду нужный сначала политический воспитание понимание свой классовый интерес а уж потом и удовольствие отрезать кочегар нет ты про голос то сказать поспешить прервать спор горшечник ты любить пение очень любить а слыхивать когда нибудь хороший то певец в натура мало только в народный дом изредка а то все больше в граммофон слушать я любить и не только пение но и музыка вообще я любить все красивый а что уж насчёт пение всего больше хороший песня меня уведешь неведомый куда про хлеб забудешь это даже не хороший что не хороший увлекаться красота когда ещё о борьба заботиться надо но какой же ты борец вы не знать а я знать из за это мне и беспокойный что два страсть меня обуяли один к красота а другая к борьба и я половинюсь как то случаться сидеть вечерок на борт пароход перед тобой берег красивый интересный река какой то сказочный а небо в закатный цвет а на берег в лес соловей заливаться так и рваться душа на простор хотеться весь красота этот в себя забрать думать о тот красота что в город крыться а в тот же время другие мысль в голова лезть а народ то трудовой до красота ли вполне ли раскрепоститься он нужный не красота восхищаться не о пение думать а бороться да среди отсталый революционный дух распространять и такой тут грусть меня взять что готовый заплакать нет ничто плохой этот двойственность и я часто чуть не клясть себя за голос свой и за пристрастие к красота а поделать ничто не мочь и не выходить из меня ни певец ни боец послышаться звонок и голос командир через рупор скомандовать средний маслёнщик подскочить к перекидка и в миг убавить ход пароход а заботин пойти к свой форсунка iii после этот беседа заботин как то замкнуться сам в себя стать задумчивый и неразговорчивый как ни вызывать его сослуживец на разговор кочегар отмалчивался или ронять бледный незначительный слово да нет и тому подобный было заметный что в парень происходить внутренний борьба он о что то глубоко задуматься что то решать и не мочь решить к всему внимательный и на все отзывчивый в первый день служба теперь он стать рассеянный и не раз случаться что он едва не упускать вода или пара не доглядеть за показатель того и другого участливость к нему со сторона маслёнщик исчезнуть они начать покрикивать на него за он рассеянность роптать и кочегар видеть что парень нестарательный исполнять свой обязанность однажды пароход быть сдать под передвижной труппа гастролировать по волга заботин не пропускать ни одного концерт даже когда ему следовать стоять на вахта он откупаться от дежурство нанимать на час вахта другого кочегар а сам спешить на концерт за этот день парень стать сам не свой он быть сильно возбудить взгляд у него стать блуждающий а в лицо мгновенно чередоваться румяный пятно со снежный бледность в конец конец не выдержать парень он разбить лёд свой молчание и на одной из вахта заявить горшечников и сорокин нет вы подумать только какой волшебство в этот концерт то ведь это что то колдовской прямо таки завораживать всего не мочь я больше оставаться ни в тот ни в сех уйти отсюда куда в город стать пробоваться не попасть в певец так попаду в боец а так оставаться невозможный ведь вы подумайте в одной какой нибудь песенка краса то какой крыться дело то не в песня только а в исполнение заметить сорокин вот это то и попробовать научиться что нибудь да выйти по крайний мера двойственность то не будет а то ведь заботин и через два день парень покинуть пароход,S115
S058_militsyna_e_v_lesu_1902.txt,верка никогда не слыхать иной музыка кроме музыка лес песня она тоже не знать ведь не суровый же отец стать бы ей петь их свой похожий на скрип дерево голос верка казаться что отец ее походить на туча из которой слышаться пора гром и блистать молния такой казаться он взгляд бросить из под густой чёрный бровь верка вспоминались иногда и песня но без слово когда то давно пропеть ей мать словно сквозь сон помнить она весёлый красавица помнить что то светлый ласка улыбка смех помнить что как то сразу не стать ее точно отец встать между нею и дочь заслонить она светлый образ своею большою тень девочка спросить где мать отец посмотреть на нее свой чёрный глаз и сказать умереть сказать такой голос что верка после бояться спрашивать его о мать с тот пора верка с наступление весна больше проводить время в лес чем дом где не было уже для нее ласка где всегда ей чуяться непогода и она рвалась наружу к солнце к теплу как залететь в дом бабочка вместе с природою оживлялась девочка и с нею же вместе засыпать с каждый осенний день становиться она тихий и тихий ненастный ветер точно обрывать с душа она светлый краска запечатлеть солнце как листик с тот молодой берёзка что одиноко стоять под окно она изба и на которую ветер налетать сердитый порыв тонкий веточка берёзка вздрагивать и раскачивались в весь сторона пожелтеть лист срываться кружиться около нее несколько мгновение взлетать выше и уноситься куда то далеко далёкий верка унылый взгляд следить из окно за они полёт с печь пристально смотреть на нее неподвижный старческий глаз она тётка а из угол потемнеть изба выползать осенний сумерки и ложиться на она сердце идти день сухой лист укрывать земля и стучать и биться голый окоченевшими ветвь деревья друг о друга и чудиться верка они выстукивать все все кончить с каждый день верка привыкать к отец и он уже не казаться ей такой тёмный и он глаз не смотреть так сурово и от весь он фигура веять теперь такою сила что верка не мочь себя даже представить ее и казаться ей только что она маленький маленький перед ним как былинка перед дуб понадвинулись туча с север и гонимые ветер долго носиться заволакивать белесоватый мгла весь небо полететь пушистый снежинка ветер притаиться где то все стихло все успокоиться и покориться точно уснуть борьба быть окончить снежинка лететь лететь без конец укрывать густой покров земля и облеплять каждый веточка но недолго длиться покой подняться ветер закурился снег белый дымком и опять полететь закружиться снежинка подниматься выше лес словно мало им стать простор в поле словно они гнать кто то и они там наверху искать себя спасение сбивались с путь и неслись опять к земля в смятение и ужас разыграться сильный метель прижаться в уголок верка слушать рассказ старуха о тот человек которых метель застать в степь кто выбиваться из сила бороться там кто вьюга напевать теперь свой зловещий песня девочка вставать из за стол и подойти к окно всматриваться в окружать тьма ей чудиться отец идти он теперь по лес метель кружить налетать на него а он только поднять рука и она с воем несется от него прочь прятаться за дерево в овраг и никто то он не бояться и сильный его на свет нет поздно метель не утихать биться в оконце теребить соломенный крыша и воет в труба с лавка раздаваться громкий храп лесник с печь доноситься стон старуха и призывание святой угодник маленький ночник тускло освещать изба пламя его еле пробиваться сквозь мрак и слабо мигать распространять вокруг копоть верка не спать она прядет перекручивать длинный нитка и казаться ей что между она палец не нитка а сама ночь бесконечный тянуться она тоскливо всматриваться в темнота но вот ночь сразу обрываться верка лететь куда то в тёмный пространство сердце ее сжиматься страшный круг непогода она знать что вот вот умереть и тихо опускаться на что то мягкий покойный так хороший к сердце приливать что то тёплый это рассвет догадываться девочка это верно солнышко всходить она открывать глаз круг прежний темь она опять прядет свой бесконечный нитка веретено давно уже у она нога верка прислонясь головою к большой гребень сладко улыбаться в сон тиха как зимний сон природа проходить жизнь верка кругом лежать снег глубокий нигде нет дорога только одинокий след ее отец виться вглубь лес и не манить он верка угрюмо смотреть на нее дуб великаны и пугать седой мохнатый есть а под вечер нередко слышаться из под них вой голодный волк зато в морозный ясный день когда иней блестящий покров одевать лес и по каждый веточка до самых вершина дерево бежать и искрились огонёк сверкая разноцветный звёздочка и лес как очарованный стоять бояться шевельнуться бояться стряхнуть с себя окутать его грёзы верка пробиралась по сугробам на знакомый полянка и все там забывать но вот настали тёплый день поплыть по небо туман бесконечный мягкий волна потонуть в он синеватый дымка лес и окрестность гора скрывать в нем свой неприступный круча по отвесный глинистый обрывам смягчать и как бы ласкать они чёрный трещина сползать он вниз в глубокий дно долина забирался в лес стлаться по широкий степной простор и колебаться над земля переполнить звук оживать природа зашуметь ручей разлились река открыться земля туман засветиться подняться высоко высоко и разбежаться в синий пространство лёгкий облачками нежиться под луч солнце порозоветь почка дерево выбиваться навстречу к нему цветок и всякий былинка вечерний зори сходиться с прозрачный тень ночь и розовый луч рассвет сливаются с подыматься туман одевать его в пурпурный краска блестеть переливаться солнце по росистый полянка скользить по распускаться листьям просвечивать между ними и играть их тень влага стоить в воздух то набежать она теплою волною то снова обдать прохлада прислушиваться к всему счастливый верка и вставать в она душа неясный грёза вставать и улетать и жить вокруг нее в весенний воздух она поднимать лицо к солнце закрывать глаз и отдаваться какой то непонятный радость лес тихо шуметь обвевать душистый ветерок птичка щебетать и казаться верка что она лёгкий лёгкий словно у ней вырасти крыло и ей хотеться резвиться на полянка вон как кружиться на ней тот пёстрый бабочка солнце отвесный луч падать на земля не плавать в небо облачка ветер нет природа словно разлениться в лес томит птичка притихнуть душный загореть верка спешить к река скорый броситься в вода поплавать и поиграть на солнце брызгами сверкать влага уже близкий просвет за которым внизу по сочный луговина широкою лента виться река вдруг где то неподалёку послышаться песня верка остановиться прислушаться и броситься в чаща в тот сторона откуда неслись звук внизу под крутой обрывом сидеть деревенский парень и что то плел из тонкий прутик заливаться в весь горло хороший тому гулять у кто родный мать она встретить и проводить в окошечко поглядеть куда сокол полететь верка прокрасться на самый край обрыв и долго слушать парень не разгибаться над работа петь песня за песня ишь какой думать верка весёлый пойти к нему увидеть бояться ай пойти што он там делать ау не вытерпеть верка прячась за куст парень оглянуться над обрыв никто не быть но только что он приняться опять за работа новый ау звонкий прежний раздаться из лес парень вскочить и долго напрасно осматривать опушину верка это понравиться она стать перебегать от один куст к другим и аукать ах ты каторжный заметить она парень прыгать сюда чево ты там носишься и он весело засмеяться а вот и прыгну ответить верка выходить из куст к самой круче ан не прыгнешь ан прыгнуть и сорвать пучок трава она бросить им в парень да идти ж скорый ты чей михаилы што ль тёмный будешь его отвечать девочка перескакивать с выступ на выступ обрыв и спускаться к река ну сыграй ещё песня подойти она к парень и пугливо рассматривать он румяный лицо ай пондравилось ты што тут делать так ответить девочка хотеть вот у вас тут под круча верши ставить баять наш рыба тут хорошо лавится верка не отвечать продолжать зорко посматривать на парень ну што ж ты песня ишь какой не терпеться ну слушать коли так мне их не жалко и он запеть весёлый песня о том как у добро молодца золото казна кудри шелковы бровь чёрный соболиный захватывать напев далеко разноситься по река и луга и замирал в лес а у меня нынче горе случиться проговорить верка лишь только парень кончить какой горе воробьята мой пропасть уж было летать зачать ха ха ха вот так горе рассмеяться парень рассматривать стройный девочка а ты вот спроси ка хороший как меня звать да запомнить пётр нагнуться он к ней по осень бисприменно свататься приеду ах што ты зачем зачем не надо скороговорка заговорить верка ишь что выдумать а батя у меня сердитый я его бояться ну сыграй ещё что нибудь пётр не заставить себя просить ах батюшки опомниться верка батя теперь ругаться быть ишь засидеться прощать прощать заторопиться она прощать донестись ещё раз с вершина обрыв и верка исчезнуть в глубина лес с тот пора верка стать часто бегать на обрыв ее тянуло туда пётр быть такой добрый весёлый ласковый на луга и солнце светило яркий трава быть нежный вербы пушистее а лес шуметь весь один и то же пётр редко показывался на берег плохо ли ловиться рыба дело ли были дома но он не более раз в неделя наведываться к свой вершам зато уж и радовалась верка и крепко биться она сердце когда она ещё из лес заслышать он песня спешить сбегать к нему с круча раз как то особенно долго засидеться она с пётр день быть праздничный погожий солнце уже садилось заходить луч его бросать последний румяный отсвет на луг и отражались на тихий поверхность река из село за река чуть слышно доноситься хороводный песня ну и я сыграю тебе ещё одну напоследок да и ступать видно проговорить пётр давно уже удерживавший верка и он запеть как на утренний на зорька роса упадать весь то ночка я напрасно друг поджидать упадать роса рано цветик кропила изболелось мой сердце все тоска изныть а на небо все ясный зорька разгоралась я навеки с свой счастие горький прощалась разойтись оно по свет с ясный луч закатилось видно с солнце вместе за морями верка было грустный хотеться плакать сладкий боль щемила она сердце вот ты где загреметь сзади голос лесник друг уж найти в мать уродиться домой крикнуть он верка выходить из опушины а ты уходить отсюда скорый уходить убить как собака на место убить греметь он на парень размахивать ружьё верка тряслась как осенний лист не сметь взглянуть на отец никогда она не видать его такой страшный чёрный глаз его кидать взгляд непримиримый ненависть вослед уходившему пётр рука судорожно сжимали ружьё ну што ж стоить домой и штоб нога твой тут никогда не быть слышать да слышать ты што ль лесник схватить дочь за плечо и сильно толкнуть ее вперёд верка покорно пойти с луговина где потухать последний краска заря они вступить в почти уже тёмный лес он казаться теперь верка тоже страшный и чужой она остановиться идти идти крикнуть отец верка пойти напрямик в высокий столетний ель ветвь которых спускались до самой земля в чаще стоять темь теперь горе оставлять спать человек прийти ей на память слово старый тётка и ходить по земля теперь зло ползти прятаться в темнота и пугать человек а тень расти все больше и больше и протягивать к верка свой длинный страшный рука сердце она испуганно стучать тоска сжимать грудь ей хотеться упасть зажмуриться ничто не видеть не слышать идти идти понукать сзади голос отец но вот есть расступиться и остаться позади черною стена сквозь раскидистый ветвь старый дуб скользнуть лунный свет и побежать по высокий ствол осина и белый берёза тень заколыхаться ещё более почернеть снизу перебежать через залить свет поляна и опять спрятаться где то около густой опушины дерево поджидать схватить там дрожавшую верка и унести куда то далеко ей хотеться остановиться и оглянуться туда где остаться розовый луч где ещё звучать словно нежный песня пётр сзади слышатся тяжёлый шаг отец и опять гнать ее в страшный чаща вот и больший поляна на которой стоить они почерневшая и тоже страшный теперь изба светать лес проснуться от влажный полянка веять утренний покоем не стряхнуть ещё с себя капель роса тоненький былиночки ни один цветок не шелохнется один только вершина дерево уже гореть и светиться под розовый луч восходить солнце и тихо переливать в них колебаться лист верка опять над обрывом лицо она бледно глаз грустно смотреть на сочный луговина где ещё вчера быть столько счастие и она тихо повторять как на утренний на зорька роса упадать весь то ночка я напрасно друг поджидать,S058
S071_remizov_a_krepost_1906.txt,под воротами двуглазой облупленной башня с золотой кованый ключ на стальной шпиц толкаться кучка сухопарый баба с поджатыми злющими губа забраться баба в крепость спозаранку выстоять обедня в крепостной церковь истовый приложиться к иконам и отправиться ходить по тюрьмам будто по пещера лавра с угодник и мощь раз десять побывать они и в каменный старый тюрьма и в новый кирпичной раз десять заглянуть в каждый камера все перетрогать про все расспросить пора бы бабам домой уходить обедать пора а баба не уходить наступать на жандарм давеча жандарм водить их по тюрьмам терпеливо показывать всякий мелочь и не пойти хорохориться самая старый ты нам главный не показать ей бог все показать божиться жандарм все да не все а ещё божиться ты тёмный показать виселица показать мельница ты показать а какой ещё мельница такой нечего дурака то валять известный мельница человек мололи жандарм обидеться грех тебе тётка болтать зря грех в орех а зерно в рот не тебе меня учить толстомордый ну проваливать проваливать вступиться часовой как бы не так ты наперёд покажи а потом и лаяться клык жандарм на минута вспыхнуть потом вдруг ощериться показать да показать сказать он постукивать сапог о сапог да что я тебе в самом дело показать хрен что ли с масло тьфу окаянный заплевались бабы хе хе хе подхватить другие жандарм околачивались жандарм без дело у часовой будка быть воскресение ничто не сказать баба поплевали молча на жандарм поплевали трижды таинственно как на что то нечистый от что отплеваться надо чтобы не пристало ни к след ни к глаз и молча ещё злой пожимать сухой губа пойти себя к берег тёмный закутать в тёплый платках хороня в узелок взять на счастие покинутый тюремный добро сушёный цветочек обрывки исписанной бумага камешки уносили они на воля капля глаз капля мысль капля сердце и капля душа заключенных когда то в этот проклятый крепость сгорбить мужичонка вынырнувший откуда то из под снег принять баб в лодка закачаться лодка покатить окаянный окаянный ударять ветер под воротами двуглазой облупленной башня с золотой кованый ключ на стальной шпиц ехать баба по чёрный полынья на тот сторона грозить костлявый палец засыпаться снег не показать им жандарм главный про что они теперь рассказать на другой сторона видеть они ванна видеть электрический лампочка мастерский человеческий скелет но главный окаянный окаянный лизать волна крепостной вал выть взъерошить ветер и вольный веслами по чёрный белый уверенно плыла уплывать лодка ох уж этот баба пристать как банный лист нипочем не отвяжешься ворчать жандарм поколачивать сапог о сапог идти снег белый белый пушинка порошил дорожка вкруг крепость порошил золотой кованый ключ надворотный двуглавый орёл тёмный окно глаз и похрустывать меж два отдалённый глухой башня обратить к озеро от королевский до часовой и от часовой до королевский шагать как на час запорошенный человек и похрустывать с утро весь день он ходить по тюрьма в хвост баба и как баба все трогать и спрашивать и как баба заглядывать и каждый пустой камера а теперь тут один под стена не один над ним белый небо и ветер и снег волос подымались от ужас и весь мысль до единый ломаться как соломинка колоть мозг и сердце наливалось кровь готовый лопнуть каждый миг охватывать душа весь новый и новый пожар сжигать все что жить человек он утро он вечер и он ночь пускай ветер подкосить его и ударить голова о стена и засыплет бесследно этот белый снег у него нет больше дом и нет кров и не надо ни дом ни кров тянуться от сердце белоснежный дорога без конец безнадёжный и другой дорога не быть вот уйти белый студёный зима повеселеть луг и поле зацвести каждый холмик каждый бугорок и подняться над земля огромный солнце согреть тёплый луч вспрыснуть дождь мёртвый и заснуть мёртвый и засунуть пробудится живой под солнце не надо это солнце и этот луг и это поле каждый цветок напоить кровь каждый пядь не дождь смочена красный дождь зачем солнце зачем цветок кровь голова кругом пойти она поднять весь жизнь и стелиться день день за день будто не год и не два и не двадцать год а вечность как стать земля и живой человек и этот крепость стоять и схоронить в ней под замок человек жить и не знать день прийти ли день когда раскроются дверь под замок человек жить их запирать в блестеть ящик как в гроб навсегда бунтоваться сердце и бить их вязать по рука и нога и кричать и ругаться и волок волокли по винтовой железный лестница сверху вниз и по асфальт на двор и далёкий по двор до ворот где принимать они каменный застенок и поглощать сырой чёрный дыра навсегда но живой сердце не вместить это страшный навсегда бунтоваться сердце и не раз тот кто приказать было караул держать следить и подслушивать они последний сон и видеть предсмертный час наряжать перед казнь и видеть как минута назад живой непреклонный и смелый висел под белый саван высоко над земля и не раз смотреть они в закатившиеся от мука глаз и сколачивать ящик гроб рыли яма вон там закапывать вон там никогда никто не прочитать над ними молитва никогда никто не закрыть им мёртвый глаз никогда никто не отдать им последний целование на минута остановиться человек каменный вдруг как стена и твёрдый как башня посинеть сердце от гнев и душа возмутиться он пойти он отмстить за этот гроб за этот виселица за хула на жизнь жизнь смяли связать по рука и нога убивать медленно подтачивали беспощадно одиночество он пойти он отмстить он найти тот кто приказывать и повелевать мучить и истязать в этот проклятый крепость за каждый час за каждый минута за каждый кратчайший миг страдание а они возрастать год за год не год и не два и не двадцать год а вечность как стать земля и живой человек он изобрести жестокий казнь и отдать им тот кто приказывать и повелевать мучить и не будет конец казнь весь белый в снег уверенно повернуть человек прочь от стена на другую дорога идти снег белый белый пушинка порошил дорожка след человек обледенелый вал и чёрный перекладина для рыбацкий снасть под чёрный навес этот крест на бескрестной могила прошлогодний сухой трава и высокий стебель замёрзнуть цвет торчать из под снег качаться под ветер трава и цветок на бескрестной могила и тоска полыхать по снег по ветер по трава по цвет перед ней плыла земля ты не жди утоление ты не найти его на этот земля кровь за кровь месть за месть без конец и тоска полыхать по снег по ветер по трава по цвет безысходный подыматься она белый пламя в снежный столб и там за облако перед лицо звезда вместе со смех недосмеянным плач недоплаканным слово невысказанный тосковать царь небесный утешитель дух истинный прийти было тихий и жутко в крепость по вечерний отойти вечерня смениться часовой у двуглазой облупленной башня крепостной ворота запереть сумрак сгущаться кутать пустынный здание и пропасть тесовый крест на фундамент заложить церковь против окно кирпичный тюрьма жандармский жена укладывали спать ребятишек ребятишки капризничать звякать шпор в казармах и подыматься по лестница жандармский шашка идти пугать ребятишек но темь овладеть крепость старый вахмистр щетиня седой бровь пройти в дежурный громыхать ненужный теперь тюремный ключ много нынче было посетитель затормошить все хотеть знать расспрашивать старый к сон клонить в белый комендантский дом засветиться огонь раскладывать зелёный столик ставить по два свеча старый хозяин приглашать гость улыбалось он мягкий масляный лицо и маленький глазки чёрненький как жгутик прыгать от любезность начинаться игра узорный стрелка старинный час на крепостной колокольня бесшумно шаг за шаг подвигаться к ночь ветер застревать в резьба вырываться толкать стрелка к полуночь и шипеть от ярость медлила полночь в угловой камера каменный старый тюрьма тёмный и глухой как погреб сновало что то и ломалось в невыносимый тоска исполосовать стена не заглядывала в окно и смотреть окно проломленным глаз в угол камера висеть иконка воскресение христов как висеть много год когда в первый раз привести сюда в этот застенок и захлопнуть дверь навсегда воскресение христов наливалась тьма и чёрный пятно плавать в тьма и тоска невыносимый и вдруг странный лик дробя тьма странный свет взглянуть из угол и подняться со весь угол и со весь стена все затаённый весь убить и пропасть что не быть выход что нельзя было выпустить подняться и пойти к этот странный свет но свет мигать дьявольский глаз и не принимать этот тоска нестерпимой думы которые замереть под череп желание сжечь в сердце они припадать к камень к непреклонный стена неутолённый неутолимый до последний день дьявол воскресал среди тьма и скорбь и отчаяние воскресал на веко как царь в это царство мука и неутоленности в пустынный здание крепость мелькать огонёк часовой на час у двуглазой облупленной башня с золотой кованый ключем на стальной шпиц кутался в тулуп творить молитва от наваждение а по крепостной двор от церковь до манеж прохаживаться кто то в красный как палач подпоясать верёвка и в красный шапка как палач покручивал плеть визжала плеть плакать в белый комендантский дом нагорали свеча идти игра старый хозяин уверенно играть обыгрывать гость везти как всегда вытягивать усатые губа и сопя будто думать уверенно резать комендант направо и налево и вдруг с тревога опускать рука в карман и похолодевшими палец нащупывать тёплый верёвка снять с шея казненного мягкий масляный лицо улыбалось и маленький глазки чёрненький как жгутик прыгать от любезность уж пробить полночь за река петух перекликивались спать крепость мертвецкий сон а в тюрьма ночь и тоска и неутоленность,S071
