lemma,freq,score
аккомпанемент,1,0.40610045
упоительный,1,0.44738978
оживлялась,2,0.43048385
злорадный,1,0.43653813
исступление,2,0.41248113
смеяться,11,0.4572773
откровенность,1,0.40926307
спокойствие,3,0.42165443
экстаз,2,0.4015581
радость,16,0.6000314
горесть,2,0.431715
резвиться,1,0.4346493
торжество,4,0.4498322
сладостный,2,0.4549053
задушевный,1,0.4319734
улыбка,11,0.43346554
суета,1,0.44736487
веселие,5,0.73213804
вдохновение,1,0.45259908
балаган,4,0.4103561
хохотать,1,0.4659647
весело,4,0.5143063
шуточный,1,0.42641452
пестрота,1,0.41613096
волнуетесь,1,0.41824028
тревога,4,0.40289384
умиление,1,0.40775585
удаль,1,0.5077195
радоваться,3,0.4585744
опьянеть,1,0.4324453
плясать,1,0.46926486
нега,1,0.49279952
доброта,3,0.40786624
попойка,1,0.57300055
скука,2,0.4542482
шутка,2,0.47422832
восклицание,1,0.40461633
шутить,6,0.4278461
тоска,21,0.43353224
скорбь,2,0.41486335
восторг,4,0.4884858
беспокойство,2,0.40633833
неудержимый,1,0.45327306
шутливый,1,0.42509788
разгоралась,1,0.43091723
смятение,1,0.42923576
флирт,1,0.42010707
смех,6,0.590492
опьянять,1,0.4660745
праздничный,1,0.5579036
роскошь,1,0.40942746
праздность,1,0.54514813
повеселеть,1,0.48797786
тешиться,2,0.4662502
рассеянность,1,0.4002335
ликовать,2,0.5299248
радовалась,3,0.4167572
петься,1,0.40187848
прибаутка,1,0.4778885
смешок,1,0.42708784
участливость,1,0.42151546
восторгался,1,0.4216423
безумствами,1,0.40667236
развлечение,1,0.50315875
бал,2,0.4116028
нежность,2,0.40419853
насмешка,3,0.42849457
грусть,2,0.48738575
песня,25,0.41577494
страсть,16,0.4253476
злоба,7,0.42451155
улыбалось,2,0.45546883
задор,1,0.47946268
радостный,4,0.5418621
заливаться,3,0.41493836
увлечение,6,0.40350714
забава,1,0.5677556
жизнерадостный,2,0.5595851
всепрощающего,1,0.40066153
неистовый,1,0.41196746
беззаботно,1,0.45643833
потеха,1,0.54066974
беспечно,1,0.43484187
вакханка,2,0.47920114
молодость,2,0.42783457
торжествовать,1,0.40097994
мазурка,1,0.43296778
балагурство,1,0.5881832
валяюсь,1,0.44385976
блаженство,2,0.45028815
успокойтесь,1,0.4132564
свадьба,5,0.4205885
ею,6,0.44442832
выпивка,1,0.5083374
приветливость,1,0.4547126
пьяный,4,0.41859877
брага,2,0.41639805
уныние,3,0.45147425
подневольность,1,0.4197383
усмешка,3,0.41112357
счастие,32,0.46007496
успокойся,2,0.4134603
смущение,1,0.4003467
алость,1,0.48557895
хохот,2,0.5576472
сладострастие,1,0.41730255
праздник,1,0.5023706
лукавство,1,0.43808687
улыбающаяся,1,0.4278614
упоение,2,0.43578693
настроение,4,0.43367392
удовольствие,6,0.46092594
забавлять,1,0.45650873
искриться,1,0.44663286
песенка,1,0.4106798
разнузданность,1,0.47235247
печаль,3,0.5184351
неутолённый,1,0.45452228
румянец,1,0.42020315
горе,7,0.44367218
