lemma,freq,score
жадность,3,0.5367228
жались,1,0.41312563
конвульсиях,1,0.41886342
полупрезрительно,1,0.4470644
вахлак,1,0.43183166
упрекнуть,1,0.47133714
предательство,2,0.43734705
нагнись,1,0.4866323
сжиматься,2,0.4077932
порывистость,1,0.4655072
злобно,1,0.60428584
неужели,9,0.48677683
дрожа,3,0.44454926
упрёка,1,0.4366473
недовольно,1,0.42647564
кольнуть,2,0.41049477
злорадный,1,0.5709498
исступление,2,0.4702671
безнадёжный,1,0.422109
захрипеть,1,0.43374628
оскорбленного,1,0.43837297
смеяться,11,0.45599994
откровенность,1,0.46112475
порок,1,0.4292888
униматься,1,0.43690518
закипело,1,0.40696323
колыхнулась,1,0.4070452
мордоплюи,1,0.40437055
малодушие,1,0.56974804
бешенство,3,0.56611943
проказница,1,0.406427
пренебрежительно,2,0.43796584
стиснуться,1,0.4312568
мстить,1,0.46861967
радость,16,0.46278343
зрачки,1,0.47221747
корчиться,3,0.46811688
наевшихся,1,0.43975878
горесть,2,0.4312898
ехидно,1,0.4471777
озвереть,1,0.4646855
брызгать,2,0.41621387
дерзить,1,0.40894172
нём,1,0.43898034
тряслась,2,0.45424208
помертветь,2,0.42735395
стыд,5,0.5460644
улыбка,11,0.40743235
несправедливость,1,0.46260834
недоплаканным,1,0.44212884
ревновать,3,0.41875643
рассмеяться,5,0.42872888
переминается,1,0.42290482
насмешливый,2,0.43197042
беспощадною,1,0.4637701
хохотать,1,0.421749
озлобленные,1,0.612607
взвизгнуть,1,0.41570172
изворотливость,1,0.48925167
злой,3,0.5120299
ежились,1,0.44593012
волнуетесь,1,0.41613758
лень,1,0.4861819
оскорблялась,1,0.43834707
бесстыдство,1,0.5411134
совладать,1,0.40655547
непривычные,1,0.41016158
вероломство,1,0.4538205
возмутиться,3,0.4199589
удаль,1,0.4134515
хорохориться,1,0.43781483
кусать,1,0.45612717
угрызение,1,0.49226993
ухмыляться,2,0.4056325
филемон,1,0.40126133
рыдание,4,0.4266041
доброта,3,0.43672448
зло,5,0.49489206
скука,2,0.46714997
горечь,5,0.568133
волнение,5,0.41989845
клокотать,1,0.42069113
чистосердечие,1,0.43447974
досада,3,0.6781136
судорожно,4,0.40254325
бессердечный,1,0.43934733
тоска,21,0.5362953
негодование,3,0.59132904
выказывать,1,0.42324802
восторг,4,0.4292439
беспокойство,2,0.46846974
гнев,1,0.6131793
недосмеянным,1,0.4093626
ощериться,1,0.45950946
отплеваться,1,0.47648728
щемила,1,0.42445928
воробьята,1,0.40247512
неловкость,1,0.48287156
неудержимый,1,0.47453454
зажглось,1,0.43711218
бессилие,5,0.44626975
нестерпимой,1,0.4678677
сдержаться,1,0.50755095
выходка,2,0.4473964
сдержать,1,0.4123436
затаить,1,0.40226844
малодушный,1,0.46410972
жестокость,1,0.55286384
слащавость,1,0.44064015
ужас,10,0.43636447
злорадство,2,0.6591121
брезгливый,1,0.49325365
задохнуться,3,0.46722567
непримиримость,1,0.41034323
смех,6,0.48410648
озлобиться,1,0.54535246
осыплются,1,0.44573057
исступленно,2,0.47475517
срываться,2,0.40096596
садилось,2,0.41992152
испуг,2,0.47839785
дразня,1,0.4275038
месть,3,0.4609038
скорченную,1,0.42975178
неутоленность,1,0.49093843
издеваться,1,0.44328803
ярость,4,0.6965425
безнадёжность,1,0.46992794
подлец,1,0.42405608
презрительно,1,0.47606987
задыхалась,1,0.45398432
