lemma,freq,score
жадность,3,0.44841734
желание,12,0.47898167
злорадный,1,0.42075866
прелесть,1,0.43176442
удивление,6,0.49341303
утешение,1,0.4487856
радость,16,0.6444819
горесть,2,0.40134537
сочувствие,1,0.43464804
веселие,5,0.45675322
вдохновение,1,0.40820968
умиление,1,0.43820277
сожаление,3,0.41911346
радоваться,3,0.41542977
довольствоваться,2,0.4426004
приятельство,1,0.40835643
скука,2,0.40692282
волнение,5,0.44832844
досада,3,0.4777008
негодование,3,0.4308964
восторг,4,0.5233463
беспокойство,2,0.4389341
злорадство,2,0.48433393
усердие,1,0.40113294
симпатия,1,0.4011218
неприятность,1,0.4374386
радовалась,3,0.42944843
восхитительный,2,0.41335225
охотно,1,0.42196918
восторгался,1,0.41059405
приятный,5,0.50658786
развлечение,1,0.51006204
почтение,1,0.42987484
радостный,4,0.4076174
увлечение,6,0.44154942
забава,1,0.46000353
любопытство,4,0.46921644
отвращение,5,0.49013078
потеха,1,0.42449152
гадость,2,0.44015586
блаженство,2,0.45323676
нетерпение,1,0.44160312
ею,6,0.4690767
любезность,2,0.41986236
утоление,1,0.42999122
счастие,32,0.4944541
благодарная,1,0.40326953
обожание,1,0.43039188
смущение,1,0.46204445
сладострастие,1,0.48422506
радостно,3,0.42795563
упоение,2,0.5118709
удовольствие,6,1.0
