lemma,freq,score
чёрствый,1,0.40513998
жадность,3,0.5277853
конвульсиях,1,0.4189501
полупрезрительно,1,0.42335394
болезненный,2,0.41564026
воздыхание,1,0.4235016
желание,12,0.435543
злорадный,1,0.4843498
исступление,2,0.43911242
бессознательно,5,0.42797723
насилие,2,0.47112203
порок,1,0.44478154
удивление,6,0.47853336
малодушие,1,0.46322194
пренебрежительно,2,0.44387206
радость,16,0.4210216
корчиться,3,0.40451673
горесть,2,0.4200044
унижение,1,0.50974333
сладостный,2,0.42785096
сочувствие,1,0.4415397
стыд,5,0.49409032
несправедливость,1,0.4060439
озлобленные,1,0.40243816
лень,1,0.42878062
бесстыдство,1,0.47994494
недоумение,2,0.471664
вероломство,1,0.40224338
умиление,1,0.47404712
привычка,2,0.44388443
сожаление,3,0.4015244
угрызение,1,0.52208495
нега,1,0.41194654
ощущение,2,0.4074699
зло,5,0.41856682
приливом,1,0.411633
скука,2,0.44855422
горечь,5,0.48033792
волнение,5,0.45947987
досада,3,0.52826774
невольный,1,0.44957054
тоска,21,0.4958229
негодование,3,0.5730274
восторг,4,0.49195802
беспокойство,2,0.48907024
отрезвление,1,0.43595397
гнев,1,0.44262058
отплеваться,1,0.4262692
неловкость,1,0.46696365
постыдный,1,0.46673542
инстинктивный,1,0.502113
неудержимый,1,0.43997413
бессилие,5,0.45949906
нестерпимой,1,0.4290654
жажда,2,0.41867155
жестокость,1,0.49315378
отвернуться,3,0.40980083
смятение,1,0.476127
слащавость,1,0.465154
неприятный,5,0.41868052
ужас,10,0.5774006
злорадство,2,0.532319
брезгливый,1,0.6198485
предрассудок,1,0.42763275
нелепость,1,0.41460153
задохнуться,3,0.40258098
непривычка,1,0.4294418
испуг,2,0.48538443
месть,3,0.40933624
скорченную,1,0.44932014
симпатия,1,0.4376061
неутоленность,1,0.45338488
ярость,4,0.4837317
безнадёжность,1,0.4143933
безразличный,2,0.4080472
давящий,2,0.4047023
презрительно,1,0.42401713
праздность,1,0.43388355
гордость,2,0.42815876
ревность,7,0.49844772
рассеянность,1,0.4538343
любовь,35,0.41703057
возбуждение,1,0.41233456
стыдиться,1,0.42752686
извращение,1,0.5708439
разочарование,4,0.49947602
презирать,1,0.44934323
гримаса,1,0.48475814
безысходный,1,0.4037738
раздражаться,1,0.41321313
застыдиться,1,0.42944953
стыдится,3,0.41879514
утонченность,1,0.4279502
опасение,1,0.41610593
гнусность,1,0.47158346
отвратительный,3,0.5570388
нежность,2,0.4525332
насмешка,3,0.46724284
страх,6,0.5530313
озноб,1,0.42124367
спазм,1,0.44557565
равнодушие,2,0.57346046
грусть,2,0.4243598
слабость,4,0.42429087
гнусный,1,0.43850642
инстинкт,2,0.40500885
злою,1,0.43433917
неудовлетворённый,1,0.44063097
страсть,16,0.44441506
протест,4,0.41924435
пробуждение,1,0.4113891
злоба,7,0.5420597
отчаяние,7,0.5318836
инстинктивно,1,0.49255437
снисходительность,1,0.40639833
почтение,1,0.4407632
отшатнуться,2,0.4096097
раздражённо,1,0.41189057
мучительный,3,0.41306132
оскорбление,1,0.43699062
уважение,3,0.4893121
увлечение,6,0.41318154
ненависть,4,0.65715593
судорога,3,0.41546127
осуждение,1,0.46318892
растерянность,1,0.44083214
пересилить,1,0.45208332
сверхъестественный,1,0.4065063
обида,2,0.42746836
любопытство,4,0.47292328
отвращение,5,0.9999999
антипатии,1,0.45176095
противный,3,0.45661947
застенчивость,1,0.40568402
боль,12,0.43869925
досадливый,1,0.43445754
тщета,1,0.43211743
гадость,2,0.517418
пристрастие,2,0.5024696
низость,3,0.42569554
ненавидеть,2,0.44032624
нетерпение,1,0.4059273
чувство,32,0.46870986
ею,6,0.43868384
раздраженный,1,0.40303314
возненавидеть,1,0.43840298
забвение,2,0.40745145
холодность,1,0.47678486
страдание,9,0.4824983
злобным,1,0.41982153
раскаяние,5,0.4924661
наваждение,1,0.48273322
сморщиться,2,0.40329328
бесчувствие,1,0.43621212
панический,1,0.48922428
уныние,3,0.4705935
утоление,1,0.48965287
равнодушный,1,0.43020076
усмешка,3,0.42367494
враждебность,1,0.5324981
упившись,1,0.4029851
позор,1,0.40799773
силившиеся,1,0.4404102
соболезнование,1,0.4053552
неутоленности,1,0.41851187
обожание,1,0.5338528
высокомерие,1,0.5099367
жгучий,8,0.43129408
смущение,1,0.5091047
алость,1,0.4759124
трепет,2,0.4287138
сладострастие,1,0.5792522
раздражение,2,0.51593065
пошлость,4,0.43828124
лукавство,1,0.4141124
усталость,2,0.4426747
несчастие,2,0.41060042
упоение,2,0.47634107
неутолимый,2,0.48775262
леденить,1,0.43454102
удовольствие,6,0.49013078
отвратительно,1,0.5641917
разнузданность,1,0.4406216
нескладность,1,0.41139132
печаль,3,0.40633237
оскорбленное,1,0.4182222
невыразимый,1,0.4291113
жалость,1,0.560248
злобный,2,0.42307875
насильственный,1,0.43409145
