lemma,freq,score
опасаться,1,0.44921127
жадность,3,0.42026287
конвульсиях,1,0.41095924
испугаться,3,0.4739936
исступление,2,0.43632492
удивление,6,0.4051579
малодушие,1,0.5416473
бешенство,3,0.4111699
радость,16,0.4651984
горесть,2,0.48901567
унижение,1,0.42953125
сладостный,2,0.40948573
угроза,2,0.40136647
пугливо,2,0.40424642
тряслась,2,0.40201357
помертветь,2,0.4299159
стыд,5,0.60128504
жуткой,1,0.40527606
испытывать,2,0.41447496
испуганный,6,0.44566107
голод,1,0.45595458
пугать,5,0.4283183
тревога,4,0.55695987
недоумение,2,0.43470263
умиление,1,0.41640234
трепетать,2,0.42910773
лютый,1,0.40003374
угрызение,1,0.56038237
ощущение,2,0.42930746
скука,2,0.46460527
горечь,5,0.431719
волнение,5,0.465145
досада,3,0.43054998
невольный,1,0.44192758
тоска,21,0.58268523
негодование,3,0.42951882
скорбь,2,0.44297597
восторг,4,0.4660722
беспокойство,2,0.54949886
гнев,1,0.49510086
неловкость,1,0.43231875
инстинктивный,1,0.46754956
бессилие,5,0.4177402
жажда,2,0.41886464
тоскливый,2,0.42793304
малодушный,1,0.50203973
жестокость,1,0.406013
смятение,1,0.4828454
ужас,10,0.7020291
злорадство,2,0.44179976
брезгливый,1,0.4226103
задохнуться,3,0.42003444
испуг,2,0.6785815
скорченную,1,0.40866974
неутоленность,1,0.4220602
ярость,4,0.44285083
ревность,7,0.44415417
зачумлённый,1,0.42860195
стыдиться,1,0.40703857
разочарование,4,0.4030778
предчувствие,2,0.49958438
безысходный,1,0.4674308
одиночество,8,0.4020875
опасность,2,0.42390355
помутиться,1,0.40626174
совершившееся,1,0.40042186
застыдиться,1,0.4160253
стыдится,3,0.41768554
опасение,1,0.5445068
холод,7,0.41970122
нежность,2,0.41176212
страх,6,1.0
неосознанный,1,0.41826653
озноб,1,0.4472745
спазм,1,0.44944388
равнодушие,2,0.41395855
грусть,2,0.43574375
внезапный,1,0.40029448
инстинкт,2,0.41331258
бояться,27,0.50506186
страсть,16,0.43066764
дрожала,1,0.4365053
злоба,7,0.4923666
отчаяние,7,0.5648089
инстинктивно,1,0.44899637
страшась,1,0.4745407
мучительный,3,0.46112478
ненависть,4,0.5192145
растерянность,1,0.52047086
пересилить,1,0.4383969
обида,2,0.45383376
любопытство,4,0.46788508
отвращение,5,0.5530313
боль,12,0.48791423
низость,3,0.42139673
боязливый,1,0.5263348
страшный,27,0.48301044
нетерпение,1,0.4006667
чувство,32,0.465532
ею,6,0.45174974
страдание,9,0.45783833
раскаяние,5,0.47299203
наваждение,1,0.44899085
напряжённость,1,0.42280048
панический,1,0.52987325
уныние,3,0.48979968
подневольность,1,0.42047748
испуганно,6,0.4130721
безумный,7,0.41027108
позор,1,0.40937337
жуткий,3,0.45205915
подозрение,4,0.40716958
неутоленности,1,0.42512327
успокойся,2,0.4225471
обожание,1,0.40619177
смущение,1,0.48889247
алость,1,0.49409652
трепет,2,0.55718565
сладострастие,1,0.43274146
лукавство,1,0.41570786
усталость,2,0.47610205
неутолимый,2,0.44305182
леденить,1,0.41313273
полуобморок,1,0.40342054
страшилась,1,0.4317773
печаль,3,0.4820121
неутолённый,1,0.40597904
горе,7,0.43021786
жалость,1,0.57174337
