lemma,freq,score
оттого,8,0.45777163
прелесть,1,0.43166476
утешение,1,0.46744418
радость,16,0.6290357
горесть,2,0.4778971
свобода,1,0.41078213
вдохновение,1,0.4389364
жизнь,96,0.41600302
радоваться,3,0.43464622
доброта,3,0.4079659
бедняжка,1,0.4208307
спасение,1,0.40139747
восторг,4,0.43020254
красота,19,0.40538603
неизведанный,2,0.4022353
успех,4,0.42934263
мечта,8,0.41734484
любовь,35,0.48623878
разочарование,4,0.40357244
слава,3,0.47014236
осчастливленная,1,0.40145236
радостный,4,0.42917
будущность,1,0.47586784
блаженство,2,0.5974554
ею,6,0.4927587
страдание,9,0.4958671
беда,4,0.4934929
грезиться,2,0.40239233
потому,12,0.4315129
счастие,32,0.8145565
вечность,2,0.40050447
случайность,2,0.41162673
всепрощающие,1,0.40604568
несчастие,2,0.55925083
упоение,2,0.4116482
счастливый,15,0.6223557
удовольствие,6,0.46809018
печаль,3,0.40185156
горе,7,0.49296218
