lemma,freq,score
упоение,2,0.4116482
счастие,32,0.8145565
красота,19,0.40538603
прелесть,1,0.43166476
радоваться,3,0.43464622
осчастливленная,1,0.40145236
радостный,4,0.42917
жизнь,96,0.41600302
бедняжка,1,0.4208307
спасение,1,0.40139747
успех,4,0.42934263
разочарование,4,0.40357244
потому,12,0.4315129
радость,16,0.6290357
утешение,1,0.46744418
горе,7,0.49296218
грезиться,2,0.40239233
случайность,2,0.41162673
свобода,1,0.41078213
оттого,8,0.45777163
удовольствие,6,0.46809018
горесть,2,0.4778971
страдание,9,0.4958671
будущность,1,0.47586784
беда,4,0.4934929
неизведанный,2,0.4022353
доброта,3,0.4079659
вечность,2,0.40050447
блаженство,2,0.5974554
вдохновение,1,0.4389364
восторг,4,0.43020254
слава,3,0.47014236
всепрощающие,1,0.40604568
несчастие,2,0.55925083
счастливый,15,0.6223557
ею,6,0.4927587
мечта,8,0.41734484
любовь,35,0.48623878
печаль,3,0.40185156
