lemma,freq,score
жадно,3,0.42998612
злорадство,2,0.45025265
гадость,2,0.42130584
извращение,1,0.40353101
изнеможение,1,0.4383983
увлечение,6,0.47932822
упоение,2,0.6559231
опьянять,1,0.41860154
сопение,1,0.40345186
воздыхание,1,0.4385264
счастие,32,0.5470028
страсть,16,0.45867282
скука,2,0.40863782
прелесть,1,0.4753482
восхищая,1,0.4206084
нега,1,0.40741676
сладкий,6,0.45733163
умиление,1,0.47980332
несладкий,1,0.4110802
нестерпимой,1,0.4043897
комфорт,1,0.42357212
неутолённый,1,0.44312412
созерцать,1,0.4525063
пресытиться,1,0.43841872
любоваться,2,0.40386683
утонченность,1,0.4157382
успокоение,1,0.40383086
разочарование,4,0.41445458
чувство,32,0.43295842
чувственный,2,0.46232444
восторгался,1,0.4151929
радость,16,0.5725845
утешение,1,0.48911715
веселие,5,0.4287979
невыразимый,1,0.47028765
восхитительный,2,0.48519418
роскошь,1,0.40980938
алость,1,0.41738915
утончённый,1,0.41155395
неутолимый,2,0.42178455
обожание,1,0.48806992
сладострастие,1,0.6508637
жадность,3,0.5250149
сладко,7,0.40128452
мечтательный,1,0.40371445
удовольствие,6,0.76629794
исступление,2,0.4266408
праздность,1,0.4082485
жаждать,3,0.45480525
ощущение,2,0.5051803
переживание,1,0.4328813
пристрастие,2,0.409526
страдание,9,0.51531243
любопытство,4,0.41018522
чаёк,3,0.45282438
приятный,5,0.43258774
восторгать,1,0.41670042
экстаз,2,0.4193887
упоительный,1,0.440152
злорадный,1,0.41320026
унижение,1,0.4710389
жгучий,8,0.40962473
волнение,5,0.42585865
утоление,1,0.58326876
забава,1,0.41728604
забвение,2,0.43600813
нём,1,0.4138507
блаженство,2,0.60594046
пробуждение,1,0.43231305
вдохновение,1,0.5313903
восторг,4,0.5055528
наваждение,1,0.4486232
тоска,21,0.4084375
раскаяние,5,0.41247806
развлечение,1,0.49452573
угрызение,1,0.45532125
ею,6,0.48526806
опьянеть,1,0.41308856
сладостный,2,0.5546138
отвращение,5,0.54359865
любовь,35,0.42187086
отрезвление,1,0.4214391
напоенный,1,0.42960507
жажда,2,0.51276684
испытывать,2,0.4003897
жалость,1,0.416053
