lemma,freq,score
жались,1,0.43544465
брезгливый,1,0.41531247
тоскливо,2,0.5178007
тоскую,1,0.5624704
отчаяние,7,0.52968866
смятение,1,0.4426337
злорадство,2,0.5346499
чувствоваться,7,0.4077182
трепет,2,0.4266193
деликатность,1,0.4169464
утешать,1,0.40469968
задумчиво,2,0.48306075
мрачный,3,0.43578774
безнадёжность,1,0.47105357
искренний,3,0.4102555
скорбь,2,0.61987805
воздыхание,1,0.46420908
тоскливый,2,0.5895388
дремота,1,0.52623796
улыбающаяся,1,0.42983758
скука,2,0.523177
испуг,2,0.47461057
прелесть,1,0.42210728
покорюсь,1,0.40045208
высокомерие,1,0.40255964
успокойся,2,0.46718735
валяюсь,1,0.4205131
томившееся,1,0.487887
нега,1,0.44538802
злоба,7,0.45978284
сладкий,6,0.41274732
лукавство,1,0.4519901
радостный,4,0.4851531
умиление,1,0.5505688
отдышавшись,1,0.41774473
задумчивый,1,0.56638783
спокойствие,3,0.41637266
досадливый,1,0.48101532
сокрушалась,1,0.43205363
печально,1,0.4949657
одиночество,8,0.48866037
гнев,1,0.40526837
приветливость,1,0.45380393
настрадалась,1,0.40744913
сожаление,3,0.45970735
задушевный,1,0.46672028
опечалить,1,0.44885594
неутолённый,1,0.41059464
растрогать,2,0.42832416
досадный,1,0.41220397
холодность,1,0.41155416
мимолетно,1,0.45566475
горечь,5,0.71780944
щемила,1,0.45579565
ласка,11,0.4232335
плакать,19,0.43474203
насмешливый,2,0.44822437
томительный,3,0.4189615
ненависть,4,0.42508388
всепрощающего,1,0.45343414
безысходный,1,0.4913932
заботливость,1,0.43309522
кроткий,2,0.41364
разочарование,4,0.5048297
участливость,1,0.45145264
чувство,32,0.49552566
уверенность,1,0.41836917
плач,1,0.41994923
усталость,2,0.47024512
кротость,1,0.42642432
смутный,4,0.41050315
радость,16,0.53202057
успокойтесь,1,0.41856194
утешение,1,0.43444255
веселие,5,0.45709684
сочувствие,1,0.457637
мечтатель,1,0.40405414
невыразимый,1,0.5164739
лирический,1,0.4157267
горе,7,0.5016363
алость,1,0.5414183
улыбалось,2,0.4819554
неутоленность,1,0.4150403
душевный,6,0.43261433
грусть,2,0.99999994
горький,7,0.42032593
печальный,5,0.54288965
усмехнувшись,1,0.4684446
застенчивость,1,0.4413157
хмурый,1,0.42690593
смешок,1,0.40161198
тосковать,3,0.47150177
томит,1,0.40534088
невольно,5,0.402478
ласковый,8,0.40079093
сладострастие,1,0.40316826
удивление,6,0.44934317
грустный,7,0.7231973
недоумение,2,0.49589732
раздумье,3,0.5160867
угрюмо,1,0.40598315
бледность,2,0.4251126
слипавшимися,1,0.40592706
невольный,1,0.4422316
скорбеть,1,0.4216792
мечтательный,1,0.47700924
запнувшись,1,0.42188042
горесть,2,0.62593263
малодушие,1,0.44852024
грустно,4,0.6495609
тревога,4,0.5390178
обида,2,0.43029675
иронически,1,0.42542535
переживание,1,0.4116466
страдание,9,0.49390295
рыдание,4,0.4288457
любопытство,4,0.40476927
тревожный,7,0.44032022
равнодушие,2,0.46005297
страх,6,0.43574375
предчувствие,2,0.44517338
мучительно,2,0.4089643
гордость,2,0.461148
тревожно,8,0.40424526
странность,1,0.40994835
воспоминание,9,0.40902826
безлунный,1,0.40383264
сумрачный,1,0.4360891
усмешка,3,0.5308552
злорадный,1,0.46507555
снисходительность,1,0.45522863
слеза,17,0.43731123
доброта,3,0.4592366
прочувствованно,1,0.422908
заплаканный,1,0.40079218
унывать,2,0.40536413
волнение,5,0.44726837
дымка,3,0.48554462
искренность,1,0.44573748
улыбка,11,0.4885354
откровенность,1,0.4112532
досадливо,1,0.42972118
нём,1,0.40098393
блаженство,2,0.41983795
ужас,10,0.4366727
восторг,4,0.4572311
уныние,3,0.6118295
мучительный,3,0.43624488
неловкость,1,0.44216588
смущение,1,0.49715346
негодование,3,0.43351132
тоска,21,0.728027
разлука,2,0.49935448
унылый,4,0.45076892
раскаяние,5,0.51496965
полусожалея,1,0.44144094
изумлялась,1,0.40103823
мечась,1,0.41712087
чудиться,3,0.44150928
всепрощающие,1,0.45505646
слащавость,1,0.44847026
насмешка,3,0.45254037
соболезнование,1,0.45255494
привязанность,4,0.42216825
угрызение,1,0.49181634
вздохнуть,2,0.42360622
нежный,19,0.44452772
стыд,5,0.42781937
рассеянность,1,0.49013358
растерянность,1,0.4820113
трогательный,2,0.41018096
сладостный,2,0.48414838
безнадёжный,1,0.42338604
отвращение,5,0.4243598
разлуки,1,0.440704
снисходительный,2,0.40193933
темь,3,0.4101943
боль,12,0.4264505
любовь,35,0.45829114
досада,3,0.57199216
горько,2,0.42207703
ирония,3,0.5267302
подневольность,1,0.40610528
нежность,2,0.6482074
горевать,1,0.44952065
укор,1,0.44460914
беспокойство,2,0.5306364
жалость,1,0.6201625
печаль,3,0.76971877
недоплаканным,1,0.46030974
