lemma,freq,score
жадность,3,0.5250149
созерцать,1,0.4525063
изнеможение,1,0.4383983
упоительный,1,0.440152
воздыхание,1,0.4385264
злорадный,1,0.41320026
исступление,2,0.4266408
прелесть,1,0.4753482
утешение,1,0.48911715
экстаз,2,0.4193887
радость,16,0.5725845
унижение,1,0.4710389
сладостный,2,0.5546138
нём,1,0.4138507
веселие,5,0.4287979
вдохновение,1,0.5313903
испытывать,2,0.4003897
успокоение,1,0.40383086
умиление,1,0.47980332
опьянеть,1,0.41308856
сладкий,6,0.45733163
угрызение,1,0.45532125
нега,1,0.40741676
ощущение,2,0.5051803
скука,2,0.40863782
волнение,5,0.42585865
тоска,21,0.4084375
восторг,4,0.5055528
переживание,1,0.4328813
отрезвление,1,0.4214391
пресытиться,1,0.43841872
нестерпимой,1,0.4043897
жажда,2,0.51276684
злорадство,2,0.45025265
несладкий,1,0.4110802
мечтательный,1,0.40371445
опьянять,1,0.41860154
роскошь,1,0.40980938
праздность,1,0.4082485
любовь,35,0.42187086
извращение,1,0.40353101
разочарование,4,0.41445458
восхитительный,2,0.48519418
чувственный,2,0.46232444
восторгать,1,0.41670042
чаёк,3,0.45282438
утонченность,1,0.4157382
восторгался,1,0.4151929
утончённый,1,0.41155395
приятный,5,0.43258774
жадно,3,0.42998612
развлечение,1,0.49452573
жаждать,3,0.45480525
восхищая,1,0.4206084
страсть,16,0.45867282
пробуждение,1,0.43231305
сладко,7,0.40128452
увлечение,6,0.47932822
сопение,1,0.40345186
забава,1,0.41728604
любопытство,4,0.41018522
отвращение,5,0.54359865
гадость,2,0.42130584
пристрастие,2,0.409526
блаженство,2,0.60594046
любоваться,2,0.40386683
чувство,32,0.43295842
ею,6,0.48526806
забвение,2,0.43600813
страдание,9,0.51531243
раскаяние,5,0.41247806
наваждение,1,0.4486232
утоление,1,0.58326876
счастие,32,0.5470028
обожание,1,0.48806992
жгучий,8,0.40962473
алость,1,0.41738915
сладострастие,1,0.6508637
упоение,2,0.6559231
неутолимый,2,0.42178455
удовольствие,6,0.76629794
комфорт,1,0.42357212
напоенный,1,0.42960507
неутолённый,1,0.44312412
невыразимый,1,0.47028765
жалость,1,0.416053
