lemma,freq,score
высокомерно,1,0.4226641
добродетель,1,0.4377088
трудолюбие,1,0.41451448
злорадный,1,0.42477214
оскорбленного,1,0.4214396
откровенность,1,0.4278136
порок,1,0.43569028
малодушие,1,0.43529582
радость,16,0.4670875
горесть,2,0.46936184
унижение,1,0.45061004
торжество,4,0.44519046
стыд,5,0.5068167
смирение,1,0.42358088
оскорблялась,1,0.4656378
бесстыдство,1,0.42538697
умиление,1,0.42044106
щепетильность,1,0.4290117
угрызение,1,0.4012206
доброта,3,0.40669167
горечь,5,0.48574972
чистосердечие,1,0.4437202
досада,3,0.480883
негодование,3,0.48136148
скорбь,2,0.43176502
восторг,4,0.42553827
беспокойство,2,0.40411857
гнев,1,0.4699527
неловкость,1,0.4050028
гордый,4,0.57389486
жестокость,1,0.4396888
самом,7,0.4031284
злорадство,2,0.5119578
оскорблять,1,0.44221663
неутоленность,1,0.4363352
ярость,4,0.44174224
роскошь,1,0.4266582
праздность,1,0.45809865
гордость,2,1.0
ревность,7,0.46376288
кротость,1,0.4133236
любовь,35,0.43790823
стыдиться,1,0.4741475
презирать,1,0.4058787
слава,3,0.41211742
краса,1,0.46927392
само,1,0.401805
самой,12,0.4016092
стыдится,3,0.45865306
утонченность,1,0.4067983
восторгался,1,0.42524177
самоуверенный,1,0.44909662
нежность,2,0.48893884
насмешка,3,0.4207709
привязанность,4,0.41985583
равнодушие,2,0.4257936
грусть,2,0.461148
слабость,4,0.41520256
страсть,16,0.4175805
злоба,7,0.5097361
снисходительность,1,0.45607695
преданность,1,0.44523388
задор,1,0.42391974
деликатность,1,0.431827
уважение,3,0.41373932
достоинство,2,0.5270926
ненависть,4,0.5556462
небрежность,1,0.42068267
обида,2,0.5230826
любопытство,4,0.40918407
отвращение,5,0.42815876
благородство,1,0.47960505
застенчивость,1,0.4722542
пристрастие,2,0.4017252
низость,3,0.42443633
чувство,32,0.4133498
холодность,1,0.42462277
враждебность,1,0.45214826
позор,1,0.4282839
уверенность,1,0.473444
обожание,1,0.40777367
высокомерие,1,0.57352114
смущение,1,0.4032572
алость,1,0.42689046
сладострастие,1,0.40120026
честность,1,0.4550663
лукавство,1,0.4974146
несчастие,2,0.4077748
неутолимый,2,0.41299424
нескладность,1,0.40609956
печаль,3,0.43598783
оскорбленное,1,0.4452786
искренность,1,0.4580758
жалость,1,0.4724848
