lemma,freq,score
изнеможение,1,0.42087787
удивление,6,0.42068458
утешение,1,0.46184617
радость,16,0.47627315
горесть,2,0.4066066
унижение,1,0.41343325
сочувствие,1,0.41921616
сокрушение,1,0.4220766
успокоение,1,0.51332843
угрызение,1,0.47622728
спасение,1,0.4034745
волнение,5,0.4115926
беспокойство,2,0.41597718
отрезвление,1,0.49047056
злорадство,2,0.4020502
разочарование,4,0.50325906
примирение,1,0.40377194
облегчённо,1,0.6733435
отвращение,5,0.4005366
страдание,9,0.42707226
раскаяние,5,0.4046037
выздоровление,1,0.43024236
утоление,1,0.44676095
соболезнование,1,0.40668267
смущение,1,0.44573432
усталость,2,0.41026327
удовольствие,6,0.47972217
