lemma,freq,score
жались,1,0.43544465
мучительно,2,0.4089643
воздыхание,1,0.46420908
отдышавшись,1,0.41774473
злорадный,1,0.46507555
плакать,19,0.43474203
прелесть,1,0.42210728
раздумье,3,0.5160867
безнадёжный,1,0.42338604
откровенность,1,0.4112532
удивление,6,0.44934317
спокойствие,3,0.41637266
малодушие,1,0.44852024
растрогать,2,0.42832416
досадный,1,0.41220397
утешение,1,0.43444255
радость,16,0.53202057
горесть,2,0.62593263
сладостный,2,0.48414838
нём,1,0.40098393
сочувствие,1,0.457637
стыд,5,0.42781937
опечалить,1,0.44885594
задушевный,1,0.46672028
улыбка,11,0.4885354
недоплаканным,1,0.46030974
тоскую,1,0.5624704
веселие,5,0.45709684
насмешливый,2,0.44822437
заботливость,1,0.43309522
ласковый,8,0.40079093
горевать,1,0.44952065
чувствоваться,7,0.4077182
печально,1,0.4949657
безлунный,1,0.40383264
нежный,19,0.44452772
лирический,1,0.4157267
тоскливо,2,0.5178007
мрачный,3,0.43578774
тревога,4,0.5390178
недоумение,2,0.49589732
умиление,1,0.5505688
сожаление,3,0.45970735
сладкий,6,0.41274732
кроткий,2,0.41364
угрызение,1,0.49181634
рыдание,4,0.4288457
нега,1,0.44538802
сумрачный,1,0.4360891
доброта,3,0.4592366
грустный,7,0.7231973
скука,2,0.523177
горечь,5,0.71780944
волнение,5,0.44726837
искренний,3,0.4102555
досада,3,0.57199216
невольный,1,0.4422316
грустно,4,0.6495609
тоска,21,0.728027
хмурый,1,0.42690593
негодование,3,0.43351132
скорбь,2,0.61987805
восторг,4,0.4572311
беспокойство,2,0.5306364
переживание,1,0.4116466
гнев,1,0.40526837
мимолетно,1,0.45566475
щемила,1,0.45579565
неловкость,1,0.44216588
тоскливый,2,0.5895388
смятение,1,0.4426337
разлуки,1,0.440704
слащавость,1,0.44847026
ужас,10,0.4366727
злорадство,2,0.5346499
брезгливый,1,0.41531247
мечтательный,1,0.47700924
слипавшимися,1,0.40592706
темь,3,0.4101943
испуг,2,0.47461057
унывать,2,0.40536413
полусожалея,1,0.44144094
неутоленность,1,0.4150403
тосковать,3,0.47150177
скорбеть,1,0.4216792
безнадёжность,1,0.47105357
гордость,2,0.461148
рассеянность,1,0.49013358
кротость,1,0.42642432
любовь,35,0.45829114
разлука,2,0.49935448
чудиться,3,0.44150928
разочарование,4,0.5048297
невольно,5,0.402478
предчувствие,2,0.44517338
трогательный,2,0.41018096
унылый,4,0.45076892
безысходный,1,0.4913932
одиночество,8,0.48866037
смешок,1,0.40161198
участливость,1,0.45145264
запнувшись,1,0.42188042
нежность,2,0.6482074
укор,1,0.44460914
насмешка,3,0.45254037
страх,6,0.43574375
привязанность,4,0.42216825
равнодушие,2,0.46005297
грусть,2,0.99999994
заплаканный,1,0.40079218
мечтатель,1,0.40405414
злоба,7,0.45978284
улыбалось,2,0.4819554
отчаяние,7,0.52968866
снисходительность,1,0.45522863
мучительный,3,0.43624488
деликатность,1,0.4169464
прочувствованно,1,0.422908
радостный,4,0.4851531
иронически,1,0.42542535
томит,1,0.40534088
вздохнуть,2,0.42360622
ненависть,4,0.42508388
изумлялась,1,0.40103823
бледность,2,0.4251126
настрадалась,1,0.40744913
всепрощающего,1,0.45343414
растерянность,1,0.4820113
угрюмо,1,0.40598315
задумчивый,1,0.56638783
обида,2,0.43029675
любопытство,4,0.40476927
отвращение,5,0.4243598
томительный,3,0.4189615
застенчивость,1,0.4413157
боль,12,0.4264505
досадливый,1,0.48101532
дремота,1,0.52623796
досадливо,1,0.42972118
валяюсь,1,0.4205131
блаженство,2,0.41983795
успокойтесь,1,0.41856194
чувство,32,0.49552566
приветливость,1,0.45380393
холодность,1,0.41155416
страдание,9,0.49390295
странность,1,0.40994835
ласка,11,0.4232335
раскаяние,5,0.51496965
уныние,3,0.6118295
горький,7,0.42032593
подневольность,1,0.40610528
усмешка,3,0.5308552
воспоминание,9,0.40902826
тревожно,8,0.40424526
горько,2,0.42207703
смутный,4,0.41050315
тревожный,7,0.44032022
соболезнование,1,0.45255494
снисходительный,2,0.40193933
дымка,3,0.48554462
успокойся,2,0.46718735
уверенность,1,0.41836917
высокомерие,1,0.40255964
душевный,6,0.43261433
смущение,1,0.49715346
алость,1,0.5414183
трепет,2,0.4266193
утешать,1,0.40469968
сладострастие,1,0.40316826
слеза,17,0.43731123
томившееся,1,0.487887
лукавство,1,0.4519901
всепрощающие,1,0.45505646
усталость,2,0.47024512
мечась,1,0.41712087
улыбающаяся,1,0.42983758
печальный,5,0.54288965
покорюсь,1,0.40045208
плач,1,0.41994923
сокрушалась,1,0.43205363
ирония,3,0.5267302
задумчиво,2,0.48306075
печаль,3,0.76971877
неутолённый,1,0.41059464
искренность,1,0.44573748
усмехнувшись,1,0.4684446
горе,7,0.5016363
невыразимый,1,0.5164739
жалость,1,0.6201625
