StoryID,story_freq,story_emo_score,FILE NAME
S115,12,0.482,S115_vlasov_n_pod_luchami_krasoti_1920.txt
S058,10,0.363,S058_militsyna_e_v_lesu_1902.txt
S071,7,0.314,S071_remizov_a_krepost_1906.txt
S028,19,0.357,S028_fedorow_a_zerkalo_1909.txt
S083,86,0.549,S083_surguchev_i_sosedka_1909.txt
S102,37,0.795,S102_asheshov_n_telegrafistka_1914.txt
S016,14,0.822,S016_brjusow_w_mramornaja_golovka.txt
S004,2,0.06,S004_arcybashew_m_v_derevne_1906.txt
S043,9,0.345,S043_karmen_l_za_chto_1904.txt
S093,130,0.998,S093_werbickaja_a_pozdno_1904.txt
