StoryID,story_freq,story_emo_score,FILE NAME
S115,11,0.475,S115_vlasov_n_pod_luchami_krasoti_1920.txt
S058,7,0.235,S058_militsyna_e_v_lesu_1902.txt
S071,13,0.566,S071_remizov_a_krepost_1906.txt
S028,31,0.549,S028_fedorow_a_zerkalo_1909.txt
S083,59,0.363,S083_surguchev_i_sosedka_1909.txt
S102,30,0.643,S102_asheshov_n_telegrafistka_1914.txt
S016,7,0.401,S016_brjusow_w_mramornaja_golovka.txt
S004,13,0.408,S004_arcybashew_m_v_derevne_1906.txt
S043,10,0.411,S043_karmen_l_za_chto_1904.txt
S093,146,1.099,S093_werbickaja_a_pozdno_1904.txt
