StoryID,story_freq,story_emo_score,FILE NAME
S115,19,0.823,S115_vlasov_n_pod_luchami_krasoti_1920.txt
S058,32,1.075,S058_militsyna_e_v_lesu_1902.txt
S071,24,1.135,S071_remizov_a_krepost_1906.txt
S028,62,1.111,S028_fedorow_a_zerkalo_1909.txt
S083,123,0.743,S083_surguchev_i_sosedka_1909.txt
S102,59,1.31,S102_asheshov_n_telegrafistka_1914.txt
S016,12,0.658,S016_brjusow_w_mramornaja_golovka.txt
S004,24,0.756,S004_arcybashew_m_v_derevne_1906.txt
S043,29,1.115,S043_karmen_l_za_chto_1904.txt
S093,233,1.788,S093_werbickaja_a_pozdno_1904.txt
