lemma,freq,score
оттого,8,0.40819225
предательство,2,0.40131262
неужели,9,0.41574523
оскорбленного,1,0.45797455
совестно,2,0.43696034
порок,1,0.4419409
малодушие,1,0.5418426
совесть,4,0.49756977
радость,16,0.4670875
корчиться,3,0.4138923
горесть,2,0.53878766
унижение,1,0.49899006
помертветь,2,0.41538915
стыд,5,1.0
несправедливость,1,0.4085807
недоплаканным,1,0.45059288
виноватый,4,0.40716732
испытывать,2,0.4038272
голод,1,0.4036198
оскорблялась,1,0.4614227
бесстыдство,1,0.49769706
умиление,1,0.41312757
угрызение,1,0.55035126
рыдание,4,0.40504885
ощущение,2,0.4015981
скука,2,0.40687788
горечь,5,0.5215157
краснеть,1,0.41610277
чистосердечие,1,0.40408936
досада,3,0.5409234
невольный,1,0.44143242
тоска,21,0.48661608
негодование,3,0.48940885
скорбь,2,0.4929605
восторг,4,0.40382737
беспокойство,2,0.4203493
унизиться,1,0.40036914
гнев,1,0.48728943
неловкость,1,0.532629
постыдный,1,0.5355122
бессилие,5,0.441869
нестерпимой,1,0.4932462
стыдно,9,0.54320085
малодушный,1,0.50592905
смятение,1,0.41891178
ужас,10,0.4776178
злорадство,2,0.42630517
брезгливый,1,0.4052882
задохнуться,3,0.41397056
оскорблять,1,0.4162957
испуг,2,0.47521126
месть,3,0.40924984
неутоленность,1,0.42739606
ярость,4,0.43726075
невыносимый,5,0.41625643
праздность,1,0.40655467
задыхалась,1,0.41319028
гордость,2,0.5068167
ревность,7,0.4719304
сконфуженное,1,0.43508375
неё,21,0.40034994
стыдиться,1,0.6243657
сознаться,6,0.41022635
раскаяться,1,0.4580948
безысходный,1,0.40554023
неловко,2,0.4111957
помутиться,1,0.40065777
застыдиться,1,0.52670723
стыдится,3,0.65014625
нежность,2,0.40440607
безрассудный,1,0.40087107
страх,6,0.60128504
грусть,2,0.42781937
слабость,4,0.4427809
стыжусь,2,0.48435336
страсть,16,0.42861122
злоба,7,0.4752112
отчаяние,7,0.47860202
мучительный,3,0.40851173
оскорбление,1,0.45916915
покраснеть,1,0.430911
ненависть,4,0.4790444
бледность,2,0.41352105
растерянность,1,0.46968633
пересилить,1,0.40218258
обида,2,0.56254256
отвращение,5,0.49409032
застенчивость,1,0.44055188
боль,12,0.49832544
сознавать,1,0.4000302
гадость,2,0.42086208
низость,3,0.44991523
блаженство,2,0.4044872
чувство,32,0.4917037
ею,6,0.46692905
страдание,9,0.47406405
нею,6,0.40948308
позорный,1,0.45233923
раскаяние,5,0.55379003
конфузливый,1,0.42066526
заплакать,6,0.4434924
бесчувствие,1,0.42187196
уныние,3,0.42167053
счастие,32,0.42901167
лгать,11,0.4085316
терзаться,1,0.42669088
позор,1,0.5907521
грех,7,0.46768016
смущение,1,0.5688685
алость,1,0.5620782
обидный,4,0.40998414
сладострастие,1,0.42638257
слеза,17,0.41490635
лукавство,1,0.42695773
обесчестить,1,0.4337881
усталость,2,0.43771508
несчастие,2,0.46998486
плач,1,0.4060098
печаль,3,0.4762247
румянец,1,0.4270153
оскорбленное,1,0.4861515
вытерпеть,1,0.40716553
горе,7,0.45136762
жалость,1,0.5923261
