lemma,freq,score
изумленно,1,0.691499
удивиться,4,0.5588593
вздрогнуть,4,0.42769468
побледнеть,4,0.40130687
недовольно,1,0.4124673
вопросительный,1,0.40251422
злорадный,1,0.4572332
удивление,6,1.0
радость,16,0.45878917
сочувствие,1,0.4713182
ахнуть,1,0.44470787
вздрагивать,4,0.42281023
рассмеяться,5,0.45651025
полюбопытствовать,1,0.5262743
насмешливый,2,0.43082693
изумиться,1,0.5349871
испуганный,6,0.43579346
тревога,4,0.4511009
недоумение,2,0.7252564
умиление,1,0.5423364
сожаление,3,0.5077052
удивляться,3,0.57627416
рассмешить,1,0.40785992
удивленно,3,0.74363965
волнение,5,0.48747748
досада,3,0.48964155
вскинуться,1,0.40050393
восклицание,1,0.44292122
негодование,3,0.555459
восторг,4,0.5723246
беспокойство,2,0.5026658
воробьята,1,0.42153656
взглядывали,1,0.42327818
смятение,1,0.5298939
ужас,10,0.510417
злорадство,2,0.49218553
брезгливый,1,0.4227146
смех,6,0.42927423
удивлялась,1,0.60265917
испуг,2,0.5964736
симпатия,1,0.41400716
удивительный,1,0.4049805
повеселеть,1,0.40295765
сомнение,1,0.41381592
смешаться,2,0.40620095
сконфуженное,1,0.42921337
подозрительно,1,0.42863113
рассеянность,1,0.43284637
оглядеться,1,0.40208828
вдруг,42,0.42175728
разочарование,4,0.4907525
засмотреться,1,0.40752038
безучастный,1,0.40126902
смущённый,2,0.44902676
застыдиться,1,0.40425518
искоса,1,0.4600283
опасение,1,0.41653568
запнувшись,1,0.4507534
пристально,1,0.44669363
насмешка,3,0.43315992
ошеломленной,1,0.43934366
страх,6,0.4051579
равнодушие,2,0.42727077
грусть,2,0.44934317
непонимающим,1,0.4439814
поперхнуться,1,0.41488966
отчаяние,7,0.44153196
почтение,1,0.47631136
отшатнуться,2,0.4029881
восторженно,1,0.44205606
уважение,3,0.4870425
радостный,4,0.42360124
иронически,1,0.40746588
расхохотаться,3,0.42419276
изумлялась,1,0.65152246
растерянность,1,0.5109047
любопытство,4,0.57818854
отвращение,5,0.47853336
досадливый,1,0.42594624
ошеломленная,1,0.41741127
засмеяться,6,0.43119448
неожиданно,5,0.4168023
нетерпение,1,0.43710262
исподлобья,1,0.4487948
приветливость,1,0.42127338
восхищенно,1,0.56827396
конфузливый,1,0.4186119
уныние,3,0.41015032
равнодушный,1,0.40179822
усмешка,3,0.44447294
испуганно,6,0.44744447
удивлять,1,0.5785317
соболезнование,1,0.45262033
обожание,1,0.4642443
высокомерие,1,0.41257554
смущение,1,0.61076766
трепет,2,0.44370475
раздражение,2,0.42192465
замечать,9,0.4137038
растерянно,2,0.44662625
встрепенуться,1,0.40825248
недоверчиво,1,0.53536725
удовольствие,6,0.49341303
ирония,3,0.43569374
жалость,1,0.43978176
